Titulo,Anio,Tipo,Genero,Rating,Puntuacion,Pais_Origen,Idioma,Elenco,Director,Creador,Escritor,Duracion(min)
My Favorite Martian,1999.0,movie,Comedy,5.1,13301.0,United States,English,"Christopher Lloyd, Jeff Daniels, Elizabeth Hurley, Daryl Hannah, Wallace Shawn, Christine Ebersole, Michael Lerner, Ray Walston, Shelley Malil, Jeremy Hotz, T.K. Carter, Dawn Maxey, Steven Anthony Lawrence, Michael Chieffo, Troy Evans, Arthur Senzy, Charles Rahi Chun, Michael Dempsey, David St. James, Dee Anne Helsel, Joe Garrett, Lorin McCraley, Ken Thorley, Tom Hallick, Barry Pearl, Buck Kartalian, Steve Bond, ""Sylvester Bear Terkay"", Michael Bailey Smith, Jean-Luc Martin, Christian Keiber, Rick Kleber, Debra Christofferson, Howard H. Ross, Allan Kolman, Robert Rigamonti, Pamela Gordon, Beau Billingslea, Michael Adler, Frank Cavestani, Vanessa Bednar, Sharon Bruneau, Corinna Everson, Wayne Knight",Donald Petrie,John Debney,"John L. Greene, Sherri Stoner, Deanna Oliver",94.0
Millennium Actress,2001.0,movie,Animation,7.9,25554.0,Japan,"Japanese, English","Miyoko Shôji, Mami Koyama, Fumiko Orikasa, Shôzô Îzuka, Shouko Tsuda, Hirotaka Suzuoki, Hisako Kyôda, Kan Tokumaru, Tomie Kataoka, Takkô Ishimori, Masamichi Satô, Masaya Onosaka, Masane Tsukayama, Kôichi Yamadera, Stephen Bent, Greg Chun, Matt Devereaux, Ben Diskin, Felicity Duncan, Barbara Goodson, JP Karliak, Jo Lee, Mona Marshall, Stuart Milligan, Laura Post, Regina Reagan, Cindy Robinson, Samantha Shaw, Keith Silverstein, Christopher Swindle, Abby Trott, John Vernon, Erin Yvette",Satoshi Kon,Susumu Hirasawa,"Satoshi Kon, Sadayuki Murai, Satoshi Kon",87.0
Love Can Seriously Damage Your Health,1996.0,movie,Comedy,6.5,1656.0,"Spain, France",Spanish,"Ana Belén, Juanjo Puigcorbé, Gabino Diego, Penélope Cruz, Carles Sans, Lola Herrera, Laura Conejero, Luis Fernando Alvés, Miguel Palenzuela, Jaime Ruiz Peñas, Víctor Ruiz Peñas, Santi Millán, José Corbacho, José Antonio Navarro, Aitana Sánchez-Gijón, Ricardo Inglés, Fernando García, Álvaro Monje, Cesáreo Estébanez, Tomás Gayo, Alfredo Melgar, David Pinilla, Nuria González, Luis Perezagua, José Ángel Egido, Carmen Balagué, Ana Otero, Javier Bardem, Cecilia Santiago, Fernando Colomo, Jesús Cisneros, Julio Silva, Pepita Rodrigues, Juan José Carbajo, Mario Sociloto, Peter Hugo, Francisco Boira, Manuel Tiedra, Olga Román, Bella Bello, Maite Conde, Mike Milles, Anthony Luke, José Fumanal, Marc Fayet, Jean-Claude Mino, Manuel Ibáñez de la Cruz, Christian Ledan, Francis Auguy, Antonio Lemos, Jesús Riarán, Luis M. Gutiérrez Santos, Joshean Mauleón, Raphael",Manuel Gómez Pereira,Bernardo Bonezzi,"Yolanda García Serrano, Manuel Gómez Pereira, Juan Luis Iborra",117.0
Bean,1997.0,movie,Adventure,6.5,101046.0,"United Kingdom, United States",English,"Rowan Atkinson, Peter MacNicol, John Mills, Pamela Reed, Harris Yulin, Burt Reynolds, Larry Drake, Danny Goldring, Johnny Galecki, Chris Ellis, Andrew Lawrence, Peter Egan, Peter Capaldi, June Brown, Peter James, Clive Corner, Rob Brownstein, Julia Pearlstein, Tom McGowan, Sandra Oh, Tricia Vessey, Alison Goldie, Dakin Matthews, Scott Charles, Thomas Mills, Ronnie Yeskel, Richard Gant, Priscilla Shanks, Richard Hicks, Gigi Fields, Lela Ivey, David Doty, Robert Curtis Brown, April Grace, Perry Anzilotti, Janni Brenn, Annette Helde, Richard Irving, Chris Lowe, Paul McMichael, Louis E. Rosas, Maridean Mansfield Shepard, Teddy, Reg Thomason",Mel Smith,Howard Goodall,"Rowan Atkinson, Richard Curtis, Richard Curtis",89.0
Just for Kicks,2003.0,movie,Adventure,3.1,1357.0,United States,English,"Cole Sprouse, Dylan Sprouse, Tom Arnold, Lori Sebourn, Jenna Gering, Bill Dawes, Wesley Singerman, Michael Peter Paredes, Desmond Bull, Brandon Hammerli, Jon Gregory Johnson, Josh Blake, Timmy Fitzpatrick, Timothy Starks, Danny Murphy, Tyler Hervey, Darby Hinton, Patrick J. Statham, Zurab Mchedlidze, Don Lewis, Adrianna Belan, Cobi Jones",Sydney J. Bartholomew Jr.,William Goodrum,"Sydney J. Bartholomew Jr., Lori Sebourn, Sydney J. Bartholomew Jr.",92.0
Dark Shadows,2012.0,movie,Comedy,6.2,254649.0,"United States, Australia, United Kingdom",English,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter, Eva Green, Jackie Earle Haley, Jonny Lee Miller, Bella Heathcote, Chloë Grace Moretz, Gulliver McGrath, Ray Shirley, Christopher Lee, Alice Cooper, Ivan Kaye, Susanna Cappellaro, Josephine Butler, William Hope, Shane Rimmer, Michael Shannon, Harry Taylor, Glen Mexted, Guy Flanagan, Nigel Whitmey, Philip Bulcock, Sophie Kennedy Clark, Hannah Murray, Victoria Bewick, Sean Mahon, Alexia Osborne, Richard Hollis, Felicity Brangan, Michael Anthony Brown, Charlotte Spencer, Gabriel Freilich, Justin Tracy, Thomas Grube, Jeff Mash, Raffey Cassidy, Jonathan Frid, Kathryn Leigh Scott, Lara Parker, David Selby, Janine Craig, Adelle Young, Dominika Van Santen, Josephine McGrail, Victoria Jane Appleton, Lasco Atkins, Gintare Beinoraviciute, Greg Bennett, Ashley Bernard, Kenneth W Caravan, Duncan Casey, James Cooper, Edward Coupland, Andrew Crayford, Vincent Curson Smith, Leigh Daniels, Jel Djelal, Romain Faure, Marco Flammer, Javier Fontana, Jake Francis, Shonn Gregory, Daniel Harland, Lee Nicholas Harris, Frank Hellebrand, Chris Martin Hill, Tony Hunter, Christos Lawton, Jorge Leon Martinez, David Lyddon, Ian Mann, Oliver Mayo, Matthew David McCarthy, Thomas McDonell, Ryan McPhail, Duncan Meadows, Dave Melmoth, Dale Mercer, Alex Moore, Stuart Mulcaster, Benjayx Murphy, Marcus Ramtohul, Valery Richardson, Steve Saunders, Ellie Spicer, Phillip Taggart, Nick Thomas-Webster, Matt Tyzack, Charlie Woodford",Tim Burton,Danny Elfman,"Seth Grahame-Smith, John August, Seth Grahame-Smith",113.0
Rabbit-Proof Fence,2002.0,movie,Biography,7.4,28156.0,Australia,"English, Aboriginal","Everlyn Sampi, Tianna Sansbury, Laura Monaghan, David Gulpilil, Ningali Lawford, Myarn Lawford, Deborah Mailman, Jason Clarke, Kenneth Branagh, Natasha Wanganeen, Garry McDonald, Roy Billing, Lorna Lesley, ""Celine OLeary"", Kate Roberts, Tracy Monaghan, Tamara Flanagan, David Ngoombujarra, Anthony Hayes, Andrew S. Gilbert, Sheryl Carter, Heath Bergersen, Trevor Jamieson, Edwina Bishop, Kerilee Meuris, Andrew Martin, Ken Radley, Don Barker, Carmel Johnson, David Buchanan, Richard Carter, Fiona Gregory, Reggie Wanganeen, Glenys Sampi, Kizzy Flanagan, Antonia Sampi, Maurice Kelly, Janganpa Group, Elsie Thomas, Rosie Goodji, Jewess James, Daisy Craig Kadibill, Molly Craig",Phillip Noyce,Peter Gabriel,"Doris Pilkington, Christine Olsen",94.0
Isaac Stern: Life's Virtuoso,2000.0,episode,Documentary,7.2,67.0,,,"Sarah Chang, Jimmy Connors, Henry Kissinger, Yo-Yo Ma, Zubin Mehta, Shimon Peres, Meryl Streep, Pinchas Zukerman",Karen Thomas,Rosemary Fishel,"Karen Gilmour, Karen Thomas",60.0
Coolie No. 1,2020.0,movie,Action,3.4,72024.0,India,Hindi,"Varun Dhawan, Sara Ali Khan, Paresh Rawal, Jaaved Jaaferi, Rajpal Yadav, Johnny Lever, Bharti Achrekar, Anil Dhawan, Sahil Vaid, Shikha Talsania, Manoj Joshi, Shashi Kiran, Vikas Verma, Rajat Rawail, Ashrut Jain, Jiten Mukhi, Natasha Rastogi, Jyoti Gauba, Rajkumar Kanojia, Naushaad Abbas, Vivan Shah, Rakesh Bedi, Shibesh Debnath, Hemant Pandey",David Dhawan,"Tanishk Bagchi, D.J. Chetas, Lijo George, Javed-Mohsin, Salim Sulaiman","Rumi Jaffery, Farhad Samji",134.0
The Matrix Revolutions,2003.0,movie,Action,6.8,466400.0,United States,"English, French","Mary Alice, Tanveer K. Atwal, Helmut Bakaitis, Kate Beahan, Francine Bell, Monica Bellucci, Rachel Blackman, Henry Blasingame, Ian Bliss, David Bowers, Zeke Castelli, Collin Chou, Essie Davis, Laurence Fishburne, Nona Gaye, Dion Horstmans, Lachy Hulme, Christopher Kirby, Peter Lamb, Nathaniel Lees, Harry Lennix, Robert Mammone, Joe Manning, Maurice Morgan, Carrie-Anne Moss, Tharini Mudaliar, Rene Naufahu, Robyn Nevin, ""Genevieve OReilly"", Harold Perrineau, Jada Pinkett Smith, Kittrick Redmond, Keanu Reeves, Rupert Reid, Kevin Michael Richardson, David Roberts, Bruce Spence, Richard Sydenham, Che Timmins, Gina Torres, Clayton Watson, Hugo Weaving, Cornel West, Bernard White, Lambert Wilson, Anthony Brandon Wong, Anthony Zerbe, Craig Walker","Lana Wachowski, Lilly Wachowski",Don Davis,"Lilly Wachowski, Lana Wachowski, Lilly Wachowski",129.0
Princess Mononoke,1997.0,movie,Animation,8.4,364432.0,Japan,Japanese,"Billy Crudup, Billy Bob Thornton, Minnie Driver, John DiMaggio, Claire Danes, John DeMita, Jada Pinkett Smith, Gillian Anderson, Keith David, Corey Burton, Tara Strong, Julia Fletcher, Debi Derryberry, Alex Fernandez, Jack Fletcher, Pat Fraley, John Hostetter, John Rafter Lee, Jessica Lynn, Sherry Lynn, Matt K. Miller, Marnie Mosiman, Tress MacNeille, Matt McKenzie, Michael McShane, Adam Paul, David Rasner, Dwight Schultz, Pamela Adlon, K.T. Vogt, Eriko Ando, Yoshiaki Arai, Lewis Arquette, Jennifer Cihi, Takako Fuji, Naoya Fujimaki, Kota Fukazawa, Daigo Fukunaga, Nobuyoshi Harada, Shigeto Ho, Kei Iinuma, Kiho Iinuma, Yuriko Ishida, Leslie Ishii, Fumi Kakuta, Tsunehiko Kamijô, Yuko Kashima, Eiji Kato, Yayoi Kazuki, Kaoru Kobayashi, Kazuya Kobayashi, Yoshimasa Kondô, Tomikazu Kuwabara, Yoshiaki Masuda, Yôji Matsuda, Yûki Matsuda, Takashi Matsuyama, Akihiro Miwa, Shigenobu Miyake, Mitsuko Mori, Hisaya Morishige, Kazuyo Murata, Akira Nagoya, Katsutoshi Nagura, Akio Nakamura, Miyuki Nikaido, Masahiko Nishimura, Hiroki Ochi, Nobuhisa Okazaki, Tetsuo Omi, Ryota Ono, Denise Poirier, Kimihiro Reizei, Shirô Saitô, Akira Sakamoto, Shinobu Sakashita, Mitsuru Satô, Masahiko Seno, Sumi Shimamoto, Daikichi Sugawara, Kazue Sugiura, Toshio Suzuki, Riri Tajima, Saori Takatsuki, Yûko Tanaka, Kenji Tashiro, Shinji Tokumaru, Akihiko Tonosaki, Keiko Tsukamoto, Kazuyo Uekusa, Fumio Ukibe, Shinichi Watanabe, Tetsu Watanabe, Ikuko Yamamoto, Michiko Yamamoto, Kinu Yoshimi, Akiko Yoshioka, Mary Elizabeth McGlynn",Hayao Miyazaki,Joe Hisaishi,"Hayao Miyazaki, Neil Gaiman, Hayao Miyazaki",134.0
The Legend of 1900,1998.0,movie,Drama,8.1,61463.0,Italy,"English, French, Italian","Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn, Clarence Williams III, Peter Vaughan, ""Niall OBrien"", Alberto Vazquez, Gabriele Lavia, John Armstead, Cory Buck, Norman Chancer, Sidney Cole, Katy Monique Cuomo, Luigi De Luca, Agostino Di Giorgio, Nicola Di Pinto, Harry Ditson, Andrew Dunford, Femi Elufowoju Jr., Nigel Fan, Easton Gage, Eamon Geoghegan, Piero Gimondo, Emanuele Gullotto, Michael Korovkin, Masa Mbatha Opasha, Adrian McCourt, Kevin McNally, Luis Molteni, Roger Monk, Noriko Aida, Vernon Nurse, Bernard Padden, Stefano Pagin, Riccardo Pellegrino, Bryan Pringle, Shaila Rubin, Michael Supnick, Ivan Truol Troncoso, Beniamino Vitale, Adriano Wajskol, Heathcote Williams, Paul Richard Wood, Anita Zagaria, Wilson Di Bois, Steven Luotto, Leonid Zaslavski, Valentina Calabrò, Pierluigi Coppola, Angelo Di Loreta, Julien Lovett",Giuseppe Tornatore,Ennio Morricone,"Alessandro Baricco, Giuseppe Tornatore",169.0
Where's God When I'm S-Scared??,1994.0,episode,Animation,7.4,33313.0,,,"Dan Anderson, G. Bock, Mike Nawrocki, Mike Sage, Lisa Vischer, Phil Vischer, Jerry Keller, Anthony Field, Murray Cook, Greg Page","Phil Vischer, Chris Olsen",Kurt Heinecke,Phil Vischer,73.0
Building the Great Pyramid,2002.0,tv movie,Documentary,7.1,165.0,"United Kingdom, Germany",English,"Abdalla Mahmoud, Hisham Abdullah, Mohamed Awad, Marc Bator, Christian Brückner, Tom Hewitt, Michael Pennington, Omar Sharif",Jonathan Stamp,"Jonathan Cooper, Martyn Swain","Steve Manuel, Jonathan Stamp",58.0
The Avengers,2012.0,movie,Action,8.0,1307234.0,United States,"English, Russian, Hindi","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson, Jeremy Renner, Tom Hiddleston, Clark Gregg, Cobie Smulders, Stellan Skarsgård, Samuel L. Jackson, Gwyneth Paltrow, Paul Bettany, Alexis Denisof, Tina Benko, Jerzy Skolimowski, Kirill Nikiforov, Jeff Wolfe, ""Mlaah Kaur Singh"", Rashmi Rustagi, Powers Boothe, Jenny Agutter, Arthur Darbinyan, Donald Li, Warren Kole, Alicia Sixtos, Jesse Garcia, Maximiliano Hernández, Dieter Riesle, Kenneth Tigar, Walter Perez, Harry Dean Stanton, Josh Cowdery, Ashley Johnson, Katsumi Komatsu, Yumiko Komatsu, Momoko Komatsu, Robert Clohessy, Enver Gjokaj, Fernanda Toker, Andrea Vecchio, Robin Swoboda, Brent McGee, Jamie McShane, Michael Zhang, William Christopher Stephens, Kelley Robins, Romy Rosemont, James Eckhouse, Stan Lee, Pat Kiernan, Thomas Roberts, Damion Poitier, Davis Allsop, Hank Amos, Catherine Anderson, Ricardo Andres, Paulie Andrew, Logan Bennett, Mayank Bhatter, Sharita Bone, Jason Botsford, Stephen Bullard, Mary Kate Campbell, Kadrolsha Ona Carole, Max Cavenham, Gene N. Chavez, Dale Coffman, Suzie Coker, Layla Cushman, Robert Dean, Alex DeCourville, Rick Dremann, Mark Falvo, Keith Fausnaught, John Fecek, Lorena Fernández, Lou Ferrigno, Rod Fielder, Dezaré Foster, Eric Frank, Richard Garcia, Jorge J. González, Tina Grimm, Israel Hall, Carmen Dee Harris, Josh Heileman, Dominique Henderson, Hannah Henriques, Moe Hindi, Michael Huante, Alexander Christopher Jones, Mike Karban, Tanzeel Kayani, Carrie Kelley, Patrick Kellums, Great Kim, Demoine Kinney, Sean Kleefeld, Evan Kole, Annette Lawless, Brandon Matthew Layne, Scott Ligon, Kimberly J. Mahoney, Todd Manes, David L. Marston, Tiffany Sander McKenzie, David Michael McMillan, Sean Meehan, Jillian Morgese, Alexandria Morrow, Chuck Morsher, Joti Nagra, Holly Neelie, Caleb Daniel Noal, ""Joseph OBrien"", Andrea-Nichole Olivas, Jeremy Orr, Nate Paige, Martin Palmer, Francisco Peramos, Maria Perossa, Roger Petan, Caleb Pieplow, Daniel Pimentel, Frank Powers, Jaime Powers, Brent Reichert, Darwin Reina, Kelly Ruble, Gina Sarno, Debbie Scaletta, Robert B. Schneider IV, Shaun V. Scott, Jeff Seich, Christina Shaffer, Alonda Shevette, Douglas Slygh, Jimmy Star, Colin Strause, Robert P. Thitoff, George Thomas, Shane Thompson, Jerry Lee Tucker, Tai Urban, Chris Vaina, Sandra Weston, Jasmine With, Jacob Francis Worrall, Chase Ziegler, Seth Zielicke",Joss Whedon,Alan Silvestri,"Joss Whedon, Zak Penn, Joss Whedon",143.0
His Secret Life,2001.0,movie,Drama,7.3,8963.0,"Italy, France","Italian, Turkish","Margherita Buy, Stefano Accorsi, Serra Yilmaz, Gabriel Garko, Erika Blanc, Andrea Renzi, Koray Candemir, Lucrezia Valia, Filippo Nigro, Ivan Bacchi, Maurizio Romoli, Carmine Recano, Luca Calvani, Rosaria De Cicco, Edilberta Caviteno Bahia, Leonardo Di Gioia, Barbara Folchitto, Giorgio Gobbi, Marilena Paci, Susan Forget, Elisa Morucci, Simone Piccioni, Simone Luzi, Ivan Salvatore",Ferzan Ozpetek,Andrea Guerra,"Gianni Romoli, Ferzan Ozpetek, Gianni Romoli",106.0
The Passion of Ayn Rand,1999.0,tv movie,Biography,5.9,1567.0,"United States, Canada",English,"Helen Mirren, Eric Stoltz, Julie Delpy, Peter Fonda, Sybil Darrow, Tom McCamus, Don McKellar, David Ferry, Donald Carrier, Hamish McEwan, Elyssa Livergant, Christopher Marren, Jennifer Gould, Robert Thomas, John Lefebvre, Katherine Trowell, Stan Coles, Rene Lemieux, ""DArcy Smith"", Andrew Dolha, Tomas Chovanec, Daniel Enright, Patrick Garrow, Aviva Armour-Ostroff, Tara Meyer, Sergio Di Zio, Domenico Fiore, Hakan Coskuner, Wayne Curnew, Thomas Lundy",Christopher Menaul,Jeff Beal,"Barbara Branden, Howard Korder, Mary Gallagher",104.0
Mission Kashmir,2000.0,movie,Action,6.7,6665.0,India,"Hindi, Urdu, English","Sanjay Dutt, Hrithik Roshan, Preity Zinta, Sonali Kulkarni, Jackie Shroff, Puru Rajkumar, Abhay Chopra, Vineet Sharma, Rajendra Gupta, Memon Mohsin, Master Yogin Soni, Heenaa Biswas, Sanjeev Rattan, Manoj Mishra, Chandan Bisht, Ram Awana, Sanjeev Siddharth, Sandeep Mehta, Ashok Banthia, Shahid Khan, Masoo, Gopi Desai, Rajeev Saxena, Hena, Suchita Trivedi, Swarangi, Romi Siddique, Manav Kaushik, Rajesh Pandey, Sanjay Jha, Pramod Singh, Akash Salgotra, Adhir Bhat, Uday Chandra, Mushtaq Khan, Kumar Thakur, Hashim, Ihino, Rajendra Singh Negi, Amar, Alok Sharma, Prem Sagar Singh, Yash Kumar, Dixit Kaul, Uzafa Abbas, Khalid Siddiqui, Billal Jaan, Akbar Khan, Riyaz Merchant, Anu, Shyamsundar Kalani, Jaswir Kaur, Loy Mendonsa, Ehsaan Noorani",Vidhu Vinod Chopra,"Shankar Mahadevan, Loy Mendonsa, Ehsaan Noorani","Vikram Chandra, Vidhu Vinod Chopra, Abhijat Joshi",154.0
Nature Unleashed: Volcano,2005.0,video movie,Action,3.5,464.0,"Bulgaria, Canada, United Kingdom",English,"Chris William Martin, Antonella Elia, Marnie Alton, Sara Malakul Lane, Joseph Beattie, Philip Dunbar, Meglena Karalambova, Velichka Georgieva, Aleksandar Dikov, Hristiania Turieva, Margariat Bojilova, Georgy Kermenski, Andrey Slabakov, Simeon Alexiev, Ventselav Kisyov, Ivailo Samev, Georgi Gatzov, Sara Merheb, Svetlana Smoleva, Violeta Simeonova, Hristo Paskalev, Kiril Boyadjiev, George Zlatarev, Nikolai Milev, Steven Milev, Borislav Terziev, Stefka Mineva",Mark Roper,Jacqueline Loran,"Darryl Anka, Tom Boyle, J.P. Epstein",90.0
Butterfly Kiss,1995.0,movie,Comedy,6.3,1958.0,United Kingdom,English,"Amanda Plummer, Kathy Jamieson, Saskia Reeves, Des McAleer, Lisa Riley, Freda Dowie, Paula Tilbrook, Fine Time Fontayne, Elizabeth McGrath, Joanne Cook, Shirley Vaughan, Paul Bown, Emily Aston, Ricky Tomlinson, Katy Murphy, Adele Lawson, Jeffrey Longmore, Suzy Yannis, Julie Walker, Kelly, Ross Donnelly",Michael Winterbottom,John Harle,"Frank Cottrell Boyce, Frank Cottrell Boyce, Michael Winterbottom",88.0
The Prime of Miss Jean Brodie,1969.0,movie,Comedy,7.6,8868.0,United Kingdom,"English, Latin, French, Italian","Maggie Smith, Robert Stephens, Pamela Franklin, Gordon Jackson, Celia Johnson, Diane Grayson, Jane Carr, Shirley Steedman, Lavinia Lang, Antoinette Biggerstaff, Margo Cunningham, Isla Cameron, Rona Anderson, Ann Way, Molly Weir, Helena Gloag, John Dunbar, Heather Seymour, Lesley Paterson, Barbie Denham, Joyce Everson, Muriel Greenslade, Kristin Hatfield, Ann Michelle, Stephanie Mildenhall, Antonia Moss, Jill Riddick, Diane Robillard, Janette Sattler, Guy Standeven, Reg Thomason, Roberta Tovey, Helen Worth",Ronald Neame,Rod McKuen,"Muriel Spark, Jay Presson Allen, Jay Presson Allen",116.0
Movie-Wheels Presents Pat Sullivan's Felix the Cat,1960.0,video movie,Animation,7.0,20039.0,,English,Jack Mercer,"Ruth Roche, Paul White",Winston Sharples,"Otto Messmer, Ruth Roche, Paul White",8.0
Love Songs,2007.0,movie,Drama,7.1,9435.0,France,French,"Louis Garrel, Ludivine Sagnier, Chiara Mastroianni, Clotilde Hesme, Grégoire Leprince-Ringuet, Brigitte Roüan, Alice Butaud, Jean-Marie Winling, Yannick Renier, Annabelle Hettmann, Esteban Carvajal-Alegria, Sylvain Tempier, Guillaume Clérice, Alex Beaupain, William Leymergie, Gaël Morel",Christophe Honoré,Alex Beaupain,Christophe Honoré,91.0
Summer of the Monkeys,1998.0,movie,Drama,6.3,559.0,Canada,English,"Michael Ontkean, Leslie Hope, Wilford Brimley, Corey Sevier, Katie Stuart, Don Francks, André Thérien, B.J. McLellan, Danny Mulvihill, Kim Schraner, Melissa Lozoff, Wayne Best, Beverly Cooper, Blaine Hart, Russell Badger, Cody Kurz",Michael Anderson,George Blondheim,"Wilson Rawls, Greg Taylor, Jim Strain",101.0
Young Einstein,1988.0,movie,Comedy,5.2,8667.0,Australia,English,"Yahoo Serious, Odile Le Clezio, John Howard, Peewee Wilson, Su Cruickshank, Lulu Pinkus, Kaarin Fairfax, Michael Lake, Jonathan Coleman, Johnny McCall, Michael Blaxland, Ray Fogo, Terry Pead, Alice Pead, Frank McDonald, Tony Harvey, Tim Elliott, Ray Winslade, ""Ian Dano Rogerson"", Wendy De Waal, P.J. Voeten, Peter Zakrzewski, Sally Zakrzewski, Zanzi Mann, Conky Heygate, Shannen De Villermont, Mark Bell, Warren Coleman, Glenn Butcher, Steve Abbott, Russell Cheek, Warwick Irwin, Keith Heygate, Roger Ward, Michael Matou, Elliott Reid, Martin Raphael, Max Meldrum, Rose Jackson, Basil Clarke, Adam Bowen, Esben Storm, Tim McKew, Philippa Baker, Geoff Aldridge, Hugh Wayland, Ian James Tait, Aku Kadogo, Margot Ross, Madeleine Ross, Nick Conroy, Michael Shirley, Ollie Hall, Christian Manon, John Even Hughes, Pepper Soudakoff, Megan Shapcott, Inge Burke, Georgie Parker, David Ngoombujarra, Wick Wilson, David Roach, Colin Gibson, Maynard, Mikey Robins",Yahoo Serious,"Martin Armiger, William Motzing, Tommy Tycho","Yahoo Serious, David Roach",91.0
A Crime of Passion,2003.0,tv movie,Crime,5.1,283.0,"Canada, United States",English,"Cynthia Gibb, Gordon Currie, Alexandra Kamp, Tom Butler, Jennifer Clement, Suleka Mathew, Brent Stait, Sebastian Spence, Catherine Barroll, Michelle Harrison, Troy Yorke, Matthew Harrison, Brad Kelly",Charles Wilkinson,Michael Richard Plowman,"Carl Binder, John Benjamin Martin",97.0
Rangeela,1995.0,movie,Comedy,7.5,9557.0,India,Hindi,"Urmila Matondkar, Aamir Khan, Jackie Shroff, Gulshan Grover, Avtar Gill, Achyut Potdar, Reema Lagoo, Rammohan Sharma, Shammi, Shefali Shah, Rajesh Joshi, Suman, Tarun, Rajeev Mehta, Ramdas, Nitin Chandrakant Desai, K.B. Jatin, Haniif Sheikh, Himanshu, Madhur Bhandarkar, ""Remo DSouza"", Sanjay Goradia, Saroj Khan, Aditya Narayan, Neeraj Vora",Ram Gopal Varma,A.R. Rahman,"H. Banerjee, Sanjay Chhel, Ram Gopal Varma",142.0
A Morbid Taste for Bones,1996.0,episode,Crime,8.1,190.0,United Kingdom,English,"Derek Jacobi, Michael Culver, Julian Firth, Terrence Hardiman, Mark Charnock, Anna Friel, John Hallam, Nick Patrick, Ellis Jones, Stephen Moyer, Phil Rowlands, Steffan Trefor, Elizabeth Fitzherbert",Richard Stroud,Colin Towns,"Christopher Russell, Edith Pargeter",76.0
New Waterford Girl,1999.0,movie,Comedy,6.9,1777.0,Canada,English,"Liane Balaban, Tara Spencer-Nairn, Mary Walsh, Nicholas Campbell, Cathy Moriarty, Andrew McCarthy, Darren Keay, Kevin Curran, Krista MacDonald, Cassie MacDonald, Adrien Dixon, Patrick Joyce, Lorne Pardy, Mark McKinney, Susan Quinn, Stacy Smith, Zach Fraser, Jody Richardson, Dave Frances, Patricia Zentilli, Sarah Whittier, Mike MacPhee, Lori LeDrew, Ida Donovan, Rudy Pilchie, John Dunsworth, Gordon Patrick White, Maynard Morrison, Gordon Gammie, Marguerite McNeil, Tricia Fish, John Goodrich, Stephen Gillis, Laurel MacDonald, Colleen MacIsaac, Bette MacDonald, Sarah Loveridge, Aaron Armstrong, Blair Boone, Ashley MacIsaac, Sam White, Dugald McLaren, Taylor Steele",Allan Moyle,"Geoff Bennett, Longo Hai, Ben Johannesen",Tricia Fish,97.0
High and Low,1963.0,movie,Crime,8.4,39523.0,Japan,Japanese,"Toshirô Mifune, Tatsuya Nakadai, Kyôko Kagawa, Tatsuya Mihashi, Isao Kimura, Kenjirô Ishiyama, Takeshi Katô, Takashi Shimura, Jun Tazaki, Nobuo Nakamura, Yûnosuke Itô, Tsutomu Yamazaki, Minoru Chiaki, Eijirô Tôno, Masao Shimizu, Yutaka Sada, Masahiko Shimazu, Toshio Egi, Kôji Mitsui, Kyû Sazanka, Susumu Fujita, Kamatari Fujiwara, Yoshio Tsuchiya, Kazuo Kitamura, Gen Shimizu, Akira Nagoya, Jun Hamamura, Masao Oda, Kô Nishimura, Yoshifumi Tajima, Kôji Kiyomura, Hiroshi Unayama, Yoshisuke Makino, Jun Kondô, Satoshi Suzuki, Senkichi Ômura, Kazuo Katô, Ikio Sawamura, Kin Sugai, Keiko Tomita, Isao Onoda, Seiichi Taguchi, Takeo Matsushita, Kiyoshi Yamamoto, Kenji Kodama, Minoru Itô, Haruo Suzuki, Bin Furuya, Akio Kusama, Kôzô Nomura, Miki Yashiro",Akira Kurosawa,Masaru Satô,"Hideo Oguni, Ryûzô Kikushima, Eijirô Hisaita",143.0
Bloody Mallory,2002.0,movie,Action,4.5,1149.0,"France, Spain",French,"Olivia Bonamy, Adrià Collado, Jeffrey Ribier, Laurent Spielvogel, Valentina Vargas, Julien Boisselier, Thylda Barès, Ludovic Berthillot, Thierry Perkins-Lyautey, Sophie Tellier, María Jurado, Dominique Frot, Olivier Hémon, Philippe Visconti, Justine Pouvreau, Yann de Monterno, Michel Durand, Ludovic Delalande, Jeanne Moureau, Dominique Marcas, Rachid Bouafia, Aurea Ferreira, Eric Hémon, Christophe Weyer, Didier Alexandre, Danièle Magnat, Marie Lounici, Cecilie Peiris, Christian Chiappe, Xavier Loira, Ariane Crochet, Sabrina Leboucher, Hugues Sugnamarcheix, Rodolphe Bounatiron, Eric Moreau",Julien Magnat,Kenji Kawai,"Stéphane Kazandjian, Julien Magnat",94.0
